Titre sans typo	site :titre	num:volume	site:promotion	num:pp	ordre	identifiant	path	Auteur principal et sa Fonction	site :nom	site :prenom	Noter ici tout ce qui peut servir au prestataire	Autorité IdRef Forme retenue	IdRef ou ARK	num:ordre	num:id	site :id	Date d'édition	Promotion	TOME	COTE Thèse AN AB XXVIII 	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel
Histoire de la ville de Langres et de ses institutions municipales jusqu’au milieu du xve siècle	Histoire de la ville de Langres et de ses institutions municipales jusqu’au milieu du <abbr>xv<sup>e</sup></abbr> siècle	5-1891-1895	1893	9-18	02	ENCPOS_1893_02	ENCPOS/1893/ENCPOS_1893_02/	Claudon, Ferdinand	Claudon	Ferdinand						189302		1893			NC		-500-1499			bon état	claudon	1	-500	1499		
Étude sur les forêts de la Franche-Comté du ier au xvii siècle	Étude sur les forêts de la Franche-Comté, du Ier au <abbr>xvii<sup>e</sup></abbr> siècle	5-1891-1895	1893	19-25	03	ENCPOS_1893_03	ENCPOS/1893/ENCPOS_1893_03/	Coulon, Auguste	Coulon	Auguste						189303		1893			NC		0-1700			bon état	coulon	1	0	1700		
Essai sur l’histoire de Calais sous la domination anglaise	Essai sur l’histoire de Calais sous la domination anglaise	5-1891-1895	1893	27-42	04	ENCPOS_1893_04	ENCPOS/1893/ENCPOS_1893_04/	Daumet, Georges	Daumet	Georges						189304		1893			NC		1346-1558			bon état	daumet	1	1346	1558		
Jean II, duc d’Alençon (1404 ou 1405-1476)	Jean_II, duc d’Alençon (1404 ou 1405-1476)	5-1891-1895	1893	43-46	05	ENCPOS_1893_05	ENCPOS/1893/ENCPOS_1893_05/	Guibert, Joseph	Guibert	Joseph						189305		1893			NC		1404-1476			bon état	guibert	1	1404	1476		
Étude sur l’église Sainte-Madeleine de Troyes	Étude sur l’église Sainte-Madeleine de Troyes	5-1891-1895	1893	47-51	06	ENCPOS_1893_06	ENCPOS/1893/ENCPOS_1893_06/	Hoppenot, Paul	Hoppenot	Paul						189306		1893			NC		1000-1893			bon état	hoppenot	1	1000	1893		
De l’influence des coutumes de Berry sur la législation de Genève au xvie siècle	De l’influence des coutumes de Berry sur la législation de Genève au <abbr>xvi<sup>e</sup></abbr> siècle	5-1891-1895	1893	53-54	07	ENCPOS_1893_07	ENCPOS/1893/ENCPOS_1893_07/	Peretti De La Rocca, De, Emmanuel	Peretti De La Rocca, De	Emmanuel						189307		1893			NC		1500-1599			bon état	perettidelarocca	1	1500	1599		
Étude sur François de Coligny, seigneur d’Andelot, colonel général de l’infanterie française (1521-1569)	Étude sur François_de_Coligny, seigneur d’Andelot, colonel général de l’infanterie française (1521-1569)	5-1891-1895	1893	55-64	08	ENCPOS_1893_08	ENCPOS/1893/ENCPOS_1893_08/	Saché, Marc	Saché	Marc						189308		1893			NC		1521-1569			bon état	sache	1	1521	1569		
Guerre et négociations entre François Ier et Henri VIII, du traité de Crépy au traité d’Ardres (septembre 1544-juin 1546)	Guerre et négociations entre François_I<sup>er</sup> et Henri_VIII, du traité de Crépy au traité d’Ardres (septembre 1544-juin 1546)	5-1891-1895	1893	65-76	09	ENCPOS_1893_09	ENCPOS/1893/ENCPOS_1893_09/	Salles, Georges	Salles	Georges						189309		1893			NC		1544-1546			bon état	salles	1	1544	1546		
La communauté des habitants de Blois jusqu’au commencement du xvie siècle	La communauté des habitants de Blois jusqu’au commencement du <abbr>xvi<sup>e</sup></abbr> siècle	5-1891-1895	1893	77-89	10	ENCPOS_1893_10	ENCPOS/1893/ENCPOS_1893_10/	Soyer, Jacques	Soyer	Jacques						189310		1893			NC		-500-1600			bon état	soyer	1	-500	1600		
Étude sur la vie et les œuvres de Robert Cénalis (1483-1563)	Étude sur la vie et les œuvres de Robert_Cénalis (1483-1563)	5-1891-1895	1893	91-93	11	ENCPOS_1893_11	ENCPOS/1893/ENCPOS_1893_11/	Vautier, Adolphe	Vautier	Adolphe						189311		1893			NC		1483-1563			bon état	vautier	1	1483	1563		
pages postliminaires		5-1891-1895	1893	95-	NEXT	ENCPOS_1893_NEXT	ENCPOS/1893/ENCPOS_1893_NEXT/																									
pages liminaires		5-1891-1895	1894	0	PREV	ENCPOS_1894_PREV	ENCPOS/1894/ENCPOS_1894_PREV/																									
Renaud VI, sire de Pons, lieutenant du roi en Poitou, Saintonge et Angoumois, conservateur des Trêves de Guyenne, vicomte de Turenne et de Carlat, seigneur de Ribérac, etc. (1348 ?-1427)	Renaud_VI, sire de Pons, lieutenant du roi en Poitou, Saintonge et Angoumois, conservateur des Trêves_de_Guyenne (1348 ?-1427)	5-1891-1895	1894	1-4	01	ENCPOS_1894_01	ENCPOS/1894/ENCPOS_1894_01/	Chavanon, Jules	Chavanon	Jules						189401		1894			NC		1348-1427			bon état	chavanon	1	1348	1427		
Un conseiller de Charles VIII, Guillaume Briçonnet, cardinal de Saint-Malo (1445-1514)	Un conseiller de Charles_VIII, Guillaume_Briçonnet (1445-1514)	5-1891-1895	1894	5-13	02	ENCPOS_1894_02	ENCPOS/1894/ENCPOS_1894_02/	Dunoyer, Alphonse	Dunoyer	Alphonse						189402		1894			NC		1445-1514			bon état	dunoyer	1	1445	1514		
Essai sur le siège de Paris par Henri IV	Essai sur le siège de Paris par Henri_IV	5-1891-1895	1894	15-25	03	ENCPOS_1894_03	ENCPOS/1894/ENCPOS_1894_03/	Gérard, Albert	Gérard	Albert						189403		1894			NC		1588-1594			bon état	gerard	1	1588	1594		
Étude sur l’architecture religieuse aux xie et xiie siècles dans l’ancien diocèse de Meaux	Étude sur l’architecture religieuse aux <abbr>xi<sup>e</sup></abbr> et <abbr>xii<sup>e</sup></abbr> siècles dans l’ancien diocèse de Meaux	5-1891-1895	1894	27-30	04	ENCPOS_1894_04	ENCPOS/1894/ENCPOS_1894_04/	Join-Lambert, Octave	Join-Lambert	Octave						189404		1894			NC		1000-1199			bon état	joinlambert	1	1000	1199		
Essai sur les présidiaux : histoire et juridiction civile (1552-1790)	Essai sur les présidiaux (1552-1790)	5-1891-1895	1894	31-36	05	ENCPOS_1894_05	ENCPOS/1894/ENCPOS_1894_05/	Laurain, Ernest	Laurain	Ernest						189405		1894			NC		1552-1790			bon état	laurain	1	1552	1790		
Les préliminaires du règne de Jean IV, duc de Bretagne (1338-1362)	Les préliminaires du règne de Jean_IV, duc de Bretagne (1338-1362)	5-1891-1895	1894	37-43	06	ENCPOS_1894_06	ENCPOS/1894/ENCPOS_1894_06/	Lemoine, Jean	Lemoine	Jean						189406		1894			NC		1338-1362			bon état	lemoine	1	1338	1362		
Étude sur les biens_nationaux de la Haute-Garonne	Étude sur les biens nationaux de la Haute-Garonne	5-1891-1895	1894	45-54	07	ENCPOS_1894_07	ENCPOS/1894/ENCPOS_1894_07/	Maisonobe, Abel	Maisonobe	Abel						189211		1892			NC		1789-1801			bon état	maisonobe2	1	1789	1801		
Essai sur la crise financière de 1380-1383	Essai sur la crise financière de 1380-1383	5-1891-1895	1894	55-57	08	ENCPOS_1894_08	ENCPOS/1894/ENCPOS_1894_08/	Mirot, Léon	Mirot	Léon						189407		1894			NC		1380-1383			bon état	mirot	1	1380	1383		
Étude historique sur l’industrie du sel en Franche-Comté avant la réunion de cette province à la France	Étude historique sur l’industrie du sel en Franche-Comté	5-1891-1895	1894	59-65	09	ENCPOS_1894_09	ENCPOS/1894/ENCPOS_1894_09/	Prinet, Max	Prinet	Max						189408		1894			NC		0-1894			bon état	prinet	1	0	1894		
Caen et l’état du bailliage de Caen sous la domination anglaise (1417-1450) d'après des documents des dépôts publics de Caen et de Paris	Caen et l’état du bailliage de Caen sous la domination anglaise (1417-1450)	5-1891-1895	1894	67-69	10	ENCPOS_1894_10	ENCPOS/1894/ENCPOS_1894_10/	Vautier, Henri	Vautier	Henri						189409		1894			NC		1417-1450			bon état	vautier	1	1417	1450		
Histoire de la ville de Périgueux et de ses institutions municipales jusqu’au traité de Brétigny (1360)	Histoire de Périgueux et de ses institutions municipales jusqu’en 1360	5-1891-1895	1894	71-86	11	ENCPOS_1894_11	ENCPOS/1894/ENCPOS_1894_11/	Villepelet, Robert	Villepelet	Robert						189410		1894			NC		500-1360			bon état	villepelet	1	500	1360		
pages postliminaires		5-1891-1895	1894	87-	NEXT	ENCPOS_1894_NEXT	ENCPOS/1894/ENCPOS_1894_NEXT/																									
pages liminaires		5-1891-1895	1895	0-4	PREV	ENCPOS_1895_PREV	ENCPOS/1895/ENCPOS_1895_PREV/																									
Essai sur les attributions des procureurs-généraux-syndics, des procureurs-syndics et des procureurs des communes	Essai sur les attributions des procureurs-généraux-syndics, des procureurs-syndics et des procureurs des communes	5-1891-1895	1895	5-10	01	ENCPOS_1895_01	ENCPOS/1895/ENCPOS_1895_01/	Bléry, Albert	Bléry	Albert						189501		1895			NC		1500-1789			bon état	blery	1	1500	1789		
Étude sur les coutumes de Clermont-en-Beauvaisis en 1496	Étude sur les coutumes de Clermont-en-Beauvaisis en 1496	5-1891-1895	1895	11-13	02	ENCPOS_1895_02	ENCPOS/1895/ENCPOS_1895_02/	Bourde De La Rogerie, Henri	Bourde De La Rogerie	Henri						189502		1895			NC		1496-1496			bon état	bourdedelarogerie	1	1496	1496		
Étude sur le droit de gîte, des origines au xe siècle	Étude sur le droit_de_gîte, des origines au <abbr>x<sup>e</sup></abbr> siècle	5-1891-1895	1895	15-19	03	ENCPOS_1895_03	ENCPOS/1895/ENCPOS_1895_03/	Collon, Gaston	Collon	Gaston						189503		1895			NC		500-1099			bon état	collon	1	500	1099		
Hildebert de Lavardin, évêque du Mans, archevêque de Tours (1056-1133) . Sa vie, ses lettres	Hildebert_de_Lavardin, évêque du Mans, archevêque de Tours (1056-1133) . Sa vie, ses lettres	5-1891-1895	1895	21-25	04	ENCPOS_1895_04	ENCPOS/1895/ENCPOS_1895_04/	Dieudonné, Adolphe	Dieudonné	Adolphe						189504		1895			NC		1056-1133			bon état	dieudonne	1	1056	1133		
Histoire de la ville et de la commune de Douai, des origines au xve siècle	Histoire de la ville et de la commune de Douai, des origines au <abbr>xv<sup>e</sup></abbr> siècle	5-1891-1895	1895	27-39	05	ENCPOS_1895_05	ENCPOS/1895/ENCPOS_1895_05/	Espinas, Georges	Espinas	Georges						189505		1895			NC		930-1499			bon état	espinas	1	930	1499		
Essai sur Robert II de la Marck, seigneur de Sedan, mort en 1536	Essai sur Robert_II_de_la_Marck, seigneur de Sedan, mort en 1536	5-1891-1895	1895	41-48	06	ENCPOS_1895_06	ENCPOS/1895/ENCPOS_1895_06/	Goubaux, Robert	Goubaux	Robert						189506		1895			NC		1500-1536			bon état	goubaux	1	1500	1536		
Géographie historique du Berry. Ses divisions et ses juridictions féodales, ecclésiastiques et administratives	Géographie historique du Berry. Ses divisions et ses juridictions féodales, ecclésiastiques et administratives	5-1891-1895	1895	49-51	07	ENCPOS_1895_07	ENCPOS/1895/ENCPOS_1895_07/	Hubert, Eugène	Hubert	Eugène						189507		1895			NC		800-1499			bon état	hubert	1	800	1499		
Essai historique sur l’Hôtel-Dieu de Coutances	Essai historique sur l’Hôtel-Dieu de Coutances	5-1891-1895	1895	53-61	08	ENCPOS_1895_08	ENCPOS/1895/ENCPOS_1895_08/	Lecacheux, Paul	Lecacheux	Paul						189508		1895			NC		500-1895			bon état	lecacheux	1	500	1895		
Étude sur le temporel de l’abbaye Saint-Pierre de Corbie, des origines au xve siècle	Étude sur le temporel de l’abbaye Saint-Pierre de Corbie, des origines au <abbr>xv<sup>e</sup></abbr> siècle	5-1891-1895	1895	63-66	09	ENCPOS_1895_09	ENCPOS/1895/ENCPOS_1895_09/	Petit, Auguste	Petit	Auguste						189509		1895			NC		657-1499			bon état	petit	1	657	1499		
Étude historique et économique sur les moulins de la Franche-Comté et du pays de Montbéliard, du xe siècle à la Révolution	Étude historique et économique sur les moulins de la Franche-Comté et du pays de Montbéliard, du <abbr>x<sup>e</sup></abbr> siècle à la Révolution	5-1891-1895	1895	67-72	10	ENCPOS_1895_10	ENCPOS/1895/ENCPOS_1895_10/	Riat, Georges	Riat	Georges						189510		1895			NC		900-1789			bon état	riat	1	900	1789		
Le procès de Guichard de Troyes (1308-1313)	Le procès de Guichard de Troyes (1308-1313)	5-1891-1895	1895	73-82	11	ENCPOS_1895_11	ENCPOS/1895/ENCPOS_1895_11/	Rigault, Abel	Rigault	Abel						189511		1895			NC		1308-1313			bon état	rigault	1	1308	1313		
pages postliminaires		5-1891-1895	1895	83-	NEXT	ENCPOS_1895_NEXT	ENCPOS/1895/ENCPOS_1895_NEXT/																									
pages liminaires		6-1893-1897	1893	0	PREV	ENCPOS_1893_PREV	ENCPOS/1893/ENCPOS_1893_PREV/																									
Recherches sur la condition de la classe agricole dans l’ancien diocèse de Troyes au Moyen Âge	Recherches sur la condition de la classe agricole dans l’ancien diocèse de Troyes au moyen-âge	6-1893-1897	1893	1-7	01	ENCPOS_1893_01	ENCPOS/1893/ENCPOS_1893_01/	Arbois De Jubainville, D’, Paul	Arbois De Jubainville, D’	Paul						189301		1893			NC		500-1499			bon état	arboisdejubainville	1	500	1499		
Histoire de la ville de Langres et de ses institutions municipales jusqu’au milieu du xve siècle	Histoire de la ville de Langres et de ses institutions municipales jusqu’au milieu du <abbr>xv<sup>e</sup></abbr> siècle	6-1893-1897	1893	9-18	02	ENCPOS_1893_02	ENCPOS/1893/ENCPOS_1893_02/	Claudon, Ferdinand	Claudon	Ferdinand						189302		1893			NC		-500-1499			bon état	claudon	1	-500	1499		
Étude sur les forêts de la Franche-Comté du ier au xvii siècle	Étude sur les forêts de la Franche-Comté, du Ier au <abbr>xvii<sup>e</sup></abbr> siècle	6-1893-1897	1893	19-25	03	ENCPOS_1893_03	ENCPOS/1893/ENCPOS_1893_03/	Coulon, Auguste	Coulon	Auguste						189303		1893			NC		0-1700			bon état	coulon	1	0	1700		
Essai sur l’histoire de Calais sous la domination anglaise	Essai sur l’histoire de Calais sous la domination anglaise	6-1893-1897	1893	27-42	04	ENCPOS_1893_04	ENCPOS/1893/ENCPOS_1893_04/	Daumet, Georges	Daumet	Georges						189304		1893			NC		1346-1558			bon état	daumet	1	1346	1558		
