Titre sans typo	site :titre	num:volume	site:promotion	num:pp	ordre	identifiant	path	Auteur principal et sa Fonction	site :nom	site :prenom	Noter ici tout ce qui peut servir au prestataire	Autorité IdRef Forme retenue	IdRef ou ARK	num:ordre	num:id	site :id	Date d'édition	Promotion	TOME	COTE Thèse AN AB XXVIII 	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel
Règlement de la société de l'École royale des chartes fondée le 24 mars 1939		1-1847-1865		1-10		ENC_1-1847-1865_PREV1	ENCPOS/1-1847-1865/PREV1/										1843				NC											
Ecole royale des chartes : Séance d'inauguration (5 mai 1847)		1-1847-1865		1-48		ENC_1-1847-1865_PREV2	ENCPOS/1-1847-1865/PREV2/										1847				NC											
Ordonnance du roi portant réorganisation de l’'École royale des chartes		1-1847-1865		49-56		ENC_1-1847-1865_PREV3	ENCPOS/1-1847-1865/PREV3/										1846				NC											
Discours prononcé par M. Letronne, directeur de l'École royale des chartes, à la séance d’inauguration de l'École, présidée par S.E.M. le ministre de l’instruction publique. Le 5 mai 1847		1-1847-1865		1-12		ENC_1-1847-1865_PREV4	ENCPOS/1-1847-1865/PREV4/										1847				NC											
Requête présentée par la société de l'École impériale des chartes à l’effet d’être reconnue comme établissement d’utilité publique		1-1847-1865		1-30		ENC_1-1847-1865_PREV5	ENCPOS/1-1847-1865/PREV5/										1854				NC											
 Cours d’histoire de la littérature provençale		1-1847-1865		1-30		ENC_1-1847-1865_PREV6	ENCPOS/1-1847-1865/PREV6/										NEANT				NC											
A M. Arthur Giry / Simon Luce. Discours prononcé au banquet de la Société des anciens élèves de l’Ecole des chartes, 28 mai 1879		1-1847-1865		0-8		ENC_1-1847-1865_PREV7	ENCPOS/1-1847-1865/PREV7/				Dédicace en page de garde à conserver						1879				NC											
Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du xiie siècle	Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du <abbr>xii<sup>e</sup></abbr> siècle	1-1847-1865	1849	1-2	01	ENCPOS_1849_01	ENCPOS/1849/ENCPOS_1849_01/	Bastard, de, Léon	Bastard, De	Léon		Bastard d'Estang, Léon de (1822-1860 ; Cte)	https://www.idref.fr/87486342			184901		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	1	NC		1100-1150			bon état	bastard	1	1100	1150		
Marguilliers laïques des églises de Paris	Marguilliers laïques des églises de Paris	1-1847-1865	1849	3	02	ENCPOS_1849_02	ENCPOS/1849/ENCPOS_1849_02/	Boisserand, Dominique-Claude 	Boisserand	Dominique-Claude		Boisserand, Dominique-Claude	ABSENT			184902		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		500-1789			bon état	boisserand	1	500	1789		
Hugues-Capet dans l’histoire et le roman	Hugues_Capet dans l’histoire et le roman	1-1847-1865	1849	5-6	03	ENCPOS_1849_03	ENCPOS/1849/ENCPOS_1849_03/	Chatel, Eugène 	Chatel	Eugène		Chatel, Eugène (1820-1910)	https://www.idref.fr/083072373			184903		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		940-1849			bon état	chatel	1	940	1849		
Essai sur les revenus publics en Normandie au xiie siècle	Essai sur les revenus publics en Normandie au <abbr>xii<sup>e</sup></abbr> siècle	1-1847-1865	1849	7-8	04	ENCPOS_1849_04	ENCPOS/1849/ENCPOS_1849_04/	Delisle, Léopold 	Delisle	Léopold		Delisle, Léopold (1826-1910) 	https://www.idref.fr/26820897			184904		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	2	NC		1100-1199			bon état	delisle	1	1100	1199		
De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les xie, xiie et xiiie siècles	De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les <abbr>xi<sup>e</sup></abbr>, <abbr>xii<sup>e</sup></abbr> et <abbr>xiii<sup>e</sup></abbr> siècles	1-1847-1865	1849	9-10	05	ENCPOS_1849_05	ENCPOS/1849/ENCPOS_1849_05/	Duplès-Agier, Henri 	Duplès-Agier	Henri		Duplès-Agier, Henri (1825-1891)	https://www.idref.fr/073413593			184905		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	3	NC		1000-1299			bon état	duplesagier	1	1000	1299		
De l’état civil et religieux des lépreux en France	De l’état civil et religieux des lépreux en France	1-1847-1865	1849	11-12	06	ENCPOS_1849_06	ENCPOS/1849/ENCPOS_1849_06/	Gossin,  Léon 	Gossin	Léon			ABSENT			184906		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	4	NC		500-1789			bon état	gossin	1	500	1789		
Le roman de l’Image du monde	Le roman de l’<i>Image_du_monde</i>	1-1847-1865	1849	13	07	ENCPOS_1849_07	ENCPOS/1849/ENCPOS_1849_07/	Héron de Villefosse, Étienne 	Héron De Villefosse	Étienne		"Héron de Villefosse, Étienne
"	https://www.idref.fr/203033477			184907		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	5	NC		1246-1399			bon état	herondevillefosse	1	1246	1399		
Wala et Louis le Débonnaire	Wala et Louis_le_Débonnaire	1-1847-1865	1849	15-16	08	ENCPOS_1849_08	ENCPOS/1849/ENCPOS_1849_08/	Himly, Auguste 	Himly	Auguste		Himly, Auguste (1823-1906)	https://www.idref.fr/030150086			184908		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		778-840			bon état	himly	1	778	840		
Des armoiries	Des armoiries	1-1847-1865	1849	17	09	ENCPOS_1849_09	ENCPOS/1849/ENCPOS_1849_09/	Huron, Édouard 	Huron	Édouard		Huron, Édouard	https://www.idref.fr/194947068			184909		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		1100-1499			bon état	huron	1	1100	1499		
Examen des œuvres de Virgilius Maro, le grammairien	Examen des œuvres de Virgilius_Maro, le grammairien	1-1847-1865	1849	19-20	10	ENCPOS_1849_10	ENCPOS/1849/ENCPOS_1849_10/	Marty-Laveaux, Charles	Marty-Laveaux	Charles		Marty-Laveaux, Charles (1823-1899)	https://www.idref.fr/032166338			184910		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		636-709			bon état	martylaveaux	1	636	709		
De la négation dans les langues romanes du midi et du nord de la France	De la négation dans les langues romanes du midi et du nord de la France	1-1847-1865	1849	21-22	11	ENCPOS_1849_11	ENCPOS/1849/ENCPOS_1849_11/	Schweighaeuser, Alfred 	Schweighæuser	Alfred		Schweighaeuser, Alfred (1823-1876) 	https://www.idref.fr/081799853			184911		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		500-1849			bon état	schweighaeuser	1	500	1849		
Des comtes du palais	Des comtes du palais	1-1847-1865	1849	23-24	12	ENCPOS_1849_12	ENCPOS/1849/ENCPOS_1849_12/	Tardif, Adolphe	Tardif	Adolphe		Tardif, Adolphe (1824-1890)	https://www.idref.fr/032384815			184912		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	6	NC		500-877			bon état	tardif	1	500	877		
pages liminaires		1-1847-1865	1850	0	PREV	ENCPOS_1850_PREV	ENCPOS/1850/ENCPOS_1850_PREV/																									
Essai de dictionnaire des anciens peintres français pendant le Moyen Âge et la Renaissance	Essai de dictionnaire des anciens peintres français pendant le Moyen_Âge et la Renaissance	1-1847-1865	1850	1-2	01	ENCPOS_1850_01	ENCPOS/1850/ENCPOS_1850_01/	Courde De Montaiglon, De, Anatole	Courde De Montaiglon, De	Anatole		Montaiglon, Anatole de (1824-1895)	https://www.idref.fr/027035514			185004	1850	1847-1850	Promotion 1847-1850		NC		500-1599			bon état	courdedemontaiglon	1	500	1599		
Des enquêteurs et des réformateurs sous la troisième race	Des enquêteurs et des réformateurs sous la troisième race	1-1847-1865	1850	3-5	02	ENCPOS_1850_02	ENCPOS/1850/ENCPOS_1850_02/	Duplès-Agier, Théodore-Henri-Léon-Auguste	Duplès-Agier	Théodore-Henri-Léon-Auguste		Duplès-Agier, Henri (1825-1891)	https://www.idref.fr/073413593			185005	1850	1847-1850	Promotion 1847-1850		NC		987-1499			bon état	duplesagier	1	987	1499		
Ordonnances de l’hôtel des rois de France ou de l’organisation intérieure de la maison des rois  aux xiiie et xive siècles	Ordonnances de l’hôtel des rois de France ou de l’organisation intérieure de la maison des rois  aux <abbr>xiii<sup>e</sup></abbr> et <abbr>xiv<sup>e</sup></abbr> siècles	1-1847-1865	1850	6-7	03	ENCPOS_1850_03	ENCPOS/1850/ENCPOS_1850_03/	Garnier, Édouard	Garnier	Édouard		Garnier, Édouard (1823-1881)	https://www.idref.fr/056885989			185006	1850	1847-1850	Promotion 1847-1850		NC		1200-1399			bon état	garnier	1	1200	1399		
De la juridiction des archidiacres	De la juridiction des archidiacres	1-1847-1865	1850	8-10	04	ENCPOS_1850_04	ENCPOS/1850/ENCPOS_1850_04/	Gréa, Marie-Étienne-Adrien	Gréa	Marie-Étienne-Adrien		Gréa, Adrien (1828-1917)	 https://www.idref.fr/034366067			185007	1850	1847-1850	Promotion 1847-1850		NC		500-1789			bon état	grea	1	500	1789		
Des appellations en cour de Rome	Des appellations en cour de Rome	1-1847-1865	1850	11-12	05	ENCPOS_1850_05	ENCPOS/1850/ENCPOS_1850_05/	Loyseau-Grandmaison, Pierre-Charles-Armand	Loyseau-Grandmaison	Pierre-Charles-Armand			ABSENT			185010	1850	1847-1850	Promotion 1847-1850		NC		500-1499			bon état	loyseaugrandmaison	1	500	1499		
Des notes tironiennes	Des notes tironiennes	1-1847-1865	1850	13-14	06	ENCPOS_1850_06	ENCPOS/1850/ENCPOS_1850_06/	Tardif, Léon-Jules-Amédée	Tardif	Léon-Jules-Amédée		Tardif, Jules (1827-1882)	 https://www.idref.fr/085466409			185012	1850	1847-1850	Promotion 1847-1850		NC		-103-1700			bon état	tardif	1	-103	1700		
De la nature du pouvoir royal en France sous les mérovingiens	De la nature du pouvoir royal en France sous les mérovingiens	1-1847-1865	1850	15-20	07	ENCPOS_1850_07	ENCPOS/1850/ENCPOS_1850_07/	Tranchant, Louis-Charles-Marie	Tranchant	Louis-Charles-Marie		Tranchant, Charles (1826-1913)	https://www.idref.fr/029779626			185013	1850	1848-1851	Promotion 1848-1848	7	NC		400-751			bon état	tranchant	1	400	751		
Recherches sur la minorité et ses effets dans la France coutumière au Moyen Âge	Recherches sur la minorité et ses effets dans la France coutumière au Moyen Âge		1850		08	ENCPOS_1850_08	ENCPOS/1850/ENCPOS_1850_08/	Arbois De Jubainville, D’, Marie-Henry	Arbois De Jubainville, D’	Marie-Henry		Arbois de Jubainville, Henri d' (1827-1910)	https://www.idref.fr/030069580			185001	1850	1848-1851	Promotion 1848-1851		NC		500-1499			bon état	arboisdejubainville	1	500	1499		
Des asiles religieux dans l’empire romain et en France	Des asiles religieux dans l’empire romain et en France		1850		09	ENCPOS_1850_09	ENCPOS/1850/ENCPOS_1850_09/	Beaurepaire, R. De, Charles-Marie	Beaurepaire, R. De	Charles-Marie		Robillard de Beaurepaire, Charles de (1828-1908) 	https://www.idref.fr/026712881			185002	1850	1848-1851	Promotion 1848-1850		NC		-500-499			bon état	beaurepaire	1	-500	499		
Histoire des Missi dominici	Histoire des <i>Missi_dominici</i>		1850		10	ENCPOS_1850_10	ENCPOS/1850/ENCPOS_1850_10/	Charronnet, Charles	Charronnet	Charles		 Charronnet, Charles 	https://www.idref.fr/055825796			185003	1850	1848-1851	Promotion 1848-1849		NC		789-999			bon état	charronnet	1	789	999		
Pépin II roi d’Aquitaine	Pépin_II, roi d’Aquitaine		1850		11	ENCPOS_1850_11	ENCPOS/1850/ENCPOS_1850_11/	Jacobs, Alfred	Jacobs	Alfred		 Jacobs, Alfred (1827-1870) 	https://www.idref.fr/073649821			185008	1850	1848-1851	Promotion 1848-1847		NC		820-870			bon état	jacobs	1	820	870		
Des réformes du droit civil demandées par le tiers ordre des états généraux de 1614 (1302-1614)	Des réformes du droit_civil demandées par le tiers ordre des états généraux de 1614 (1302-1614)		1850		12	ENCPOS_1850_12	ENCPOS/1850/ENCPOS_1850_12/	Jolly, François-Eugène	Jolly	François-Eugène			ABSENT			185009	1850	1848-1851	Promotion 1848-1846		NC		1302-1614			bon état	jolly	1	1302	1614		
Biographie de Jean II de Montagu, surintendant des finances et grand maître de l’hôtel du roi Charles VI  (1388-1409)	Biographie de Jean_II_de_Montagu, surintendant des finances et grand maître de l’hôtel du roi Charles_VI  (1388-1409)		1850		13	ENCPOS_1850_13	ENCPOS/1850/ENCPOS_1850_13/	Merlet, Lucien-Hestor-Claude	Merlet	Lucien-Hestor-Claude		Merlet, Lucien (1827-1898)	https://www.idref.fr/027024431			185011	1850	1848-1851	Promotion 1848-1845		NC		1388-1409			bon état	merlet	1	1388	1409		
pages liminaires		1-1847-1865	1851	0-2	PREV	ENCPOS_1851_PREV	ENCPOS/1851/ENCPOS_1851_PREV/																									
Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen Âge	Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen_Âge	1-1847-1865	1851	3-4	01	ENCPOS_1851_01	ENCPOS/1851/ENCPOS_1851_01/	Lecaron, Frédéric-Natalis	Lecaron	Frédéric-Natalis			ABSENT			185103	1851	1848-1851	Promotion 1848-1851		NC		1000-1499			bon état	lecaron	1	1000	1499		
Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et de Toulouse (1249-1271)	Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et  de Toulouse (1249-1271)	1-1847-1865	1851	5-6	02	ENCPOS_1851_02	ENCPOS/1851/ENCPOS_1851_02/	Boutaric , Paul-Edgard	Boutaric 	Paul-Edgard		Boutaric, Edgard (1829-1877)	https://www.idref.fr/032705832			185101	1851	1848-1851	Promotion 1848-1851		NC		1249-1271			bon état	boutaric	1	1249	1271		
Notice historique sur la secte des Cornificiens (xiie siècle)	Notice historique sur la secte des Cornificiens (XII<sup>e</sup> siècle)	1-1847-1865	1851	7-8	03	ENCPOS_1851_03	ENCPOS/1851/ENCPOS_1851_03/	Charronnet, Charles	Charronnet	Charles		Charronnet, Charles	https://www.idref.fr/055825796			185102	1851	1848-1851	Promotion 1848-1851		NC		1100-1199			bon état	charronnet	1	1100	1199		
pages liminaires		1-1847-1865	1852	0-2	PREV	ENCPOS_1852_PREV	ENCPOS/1852/ENCPOS_1852_PREV/																									
De la paroisse rurale en Bretagne au ixe siècle. Du prince de paroisse, Machtyern  ou Princeps plebis	De la paroisse rurale en Bretagne au <abbr>ix<sup>e</sup></abbr> siècle. Du prince de paroisse, <i>machtyern</i> ou <i>princeps_plebis</i>.	1-1847-1865	1852	3-4	01	ENCPOS_1852_01	ENCPOS/1852/ENCPOS_1852_01/	La Borderie, De, Louis-Arthur	La Borderie, De	Louis-Arthur		La Borderie, Arthur Le Moyne de (1827-1901)	 https://www.idref.fr/026955784			185206	1852	1849-1852	Promotion 1849-1852		NC		800-899			bon état	laborderie	1	800	899		
Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985	Essai sur le régime des biens ou rapports pécuniaires entre les époux en Gaule jusqu’en 985	1-1847-1865	1852	5-6	02	ENCPOS_1852_02	ENCPOS/1852/ENCPOS_1852_02/	Auger, Ernest-Édouard	Auger	Ernest-Édouard		 Auger, Ernest-Edouard 	https://www.idref.fr/193866102			185201	1852	1849-1852	Promotion 1849-1852		NC		-500-985			bon état	auger	1	-500	985		
De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain	De l’organisation du travail public dans les Gaules, avant et après la chute de l’empire romain	1-1847-1865	1852	7-8	03	ENCPOS_1852_03	ENCPOS/1852/ENCPOS_1852_03/	Passy, Louis	Passy	Louis			ABSENT			185208	1852	1849-1852	Promotion 1849-1852		NC		-500-800			bon état	passy	1	-500	800		
Notice sur le Roman de la Rose	Notice sur le <i>Roman_de_la_Rose</i>	1-1847-1865	1852	9-10	04	ENCPOS_1852_04	ENCPOS/1852/ENCPOS_1852_04/	Pécantin, Charles-François	Pécantin	Charles-François			ABSENT			185209	1852	1849-1852	Promotion 1849-1852		NC		1237-1280			bon état	pecantin	1	1237	1280		
Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le xie siècle	Essai sur l’histoire géographique et topographique de l’ancienne Touraine avant le <abbr>xi<sup>e</sup></abbr> siècle	1-1847-1865	1852	11-13	05	ENCPOS_1852_05	ENCPOS/1852/ENCPOS_1852_05/	Mabille, Louis-Émile	Mabille	Louis-Émile			ABSENT			185207	1852	1849-1852	Promotion 1849-1852		NC		-500-1000			bon état	mabille	1	-500	1000		
Traduction du poème d’Adalbéron, évêque de Laon	Traduction du poème d’Adalbéron, évêque de Laon	1-1847-1865	1852	15-16	06	ENCPOS_1852_06	ENCPOS/1852/ENCPOS_1852_06/	Baudoin, Adolphe	Baudoin	Adolphe			ABSENT			185202	1852	1849-1852	Promotion 1849-1852		NC		977-1030			bon état	baudoin	1	977	1030		
Essai sur le commerce maritime de Narbonne	Essai sur le commerce maritime de Narbonne	1-1847-1865	1852	17-19	07	ENCPOS_1852_07	ENCPOS/1852/ENCPOS_1852_07/	Port, Célestin	Port	Célestin		Port, Célestin (1828-1901)				185210	1852	1849-1852	Promotion 1849-1852		NC		-500-1852			bon état	port	1	-500	1852		
Étude sur les verbes français	Étude sur les verbes français	1-1847-1865	1852	21-22	08	ENCPOS_1852_08	ENCPOS/1852/ENCPOS_1852_08/	Chazaud, Alphonse-Martial	Chazaud	Alphonse-Martial		Chazaud, Martial-Alphonse (1827-1880)	https://www.idref.fr/097857998			185203	1852	1849-1852	Promotion 1849-1852		NC		800-1850			bon état	chazaud	1	800	1850		
Recherches sur le Châtelet de Paris	Recherches sur le Châtelet de Paris	1-1847-1865	1852	23-26	09	ENCPOS_1852_09	ENCPOS/1852/ENCPOS_1852_09/	Dupont, Edmond-Louis	Dupont	Edmond-Louis		Dupont, Edmond (1827-1886)	 https://www.idref.fr/136343767			185205	1852	1849-1852	Promotion 1849-1852		NC		500-1850			bon état	dupont	1	500	1850		
Essai sur la grande chancellerie au xiv siècle	Essai sur la grande chancellerie au <abbr>xiv<sup>e</sup></abbr> siècle	1-1847-1865	1852	27-28	10	ENCPOS_1852_10	ENCPOS/1852/ENCPOS_1852_10/	Cocheris, Hippolyte-François-Jules-Marie	Cocheris	Hippolyte-François-Jules-Marie		Cocheris, Hippolyte (1829-1882)	https://www.idref.fr/030008263			185204	1852	1849-1852	Promotion 1849-1852		NC		1300-1399			bon état	cocheris	1	1300	1399		
pages liminaires		1-1847-1865	1853	0-2	PREV	ENCPOS_1853_PREV	ENCPOS/1853/ENCPOS_1853_PREV/																									
Étude historique sur l’inquisition dans le midi de la France (1285 à 1328)	Étude historique sur l’inquisition dans le midi de la France (1285 à 1328)	1-1847-1865	1853	3-4	01	ENCPOS_1853_01	ENCPOS/1853/ENCPOS_1853_01/	Garin, Auguste	Garin	Auguste			ABSENT			185303	1853	1850-1853	Promotion 1850-1853		NC		1285-1328			bon état	garin	1	1285	1328		
Élection et couronnement du pape Jean XXII	Élection et couronnement du pape Jean_XXII	1-1847-1865	1853	5-8	02	ENCPOS_1853_02	ENCPOS/1853/ENCPOS_1853_02/	Bertrandy, Martin	Bertrandy	Martin		Bertrandy-Lacabane, Martin (1827-1888)	https://www.idref.fr/033580790			185301	1853	1850-1853	Promotion 1850-1853		NC		1316-1316			bon état	bertrandy	1	1316	1316		
Étude sur le développement des juridictions ecclésiastiques du ixe au xive siècle et sur l’origine de l’appel comme d’abus	Étude sur le développement des juridictions ecclésiastiques du <abbr>ix<sup>e</sup></abbr> au <abbr>xiv<sup>e</sup></abbr> siècle et sur l’origine de l’appel comme d’abus	1-1847-1865	1853	9-10	03	ENCPOS_1853_03	ENCPOS/1853/ENCPOS_1853_03/	Chambrun, De, Charles-Adolphe	Chambrun, De	Charles-Adolphe		Chambrun, Adolphe de (1831-1891)	https://www.idref.fr/026776995			185302	1853	1850-1853	Promotion 1850-1853		NC		800-1399			bon état	chambrun	1	800	1399		
Essai sur la procédure canonique depuis l’établissement du christianisme jusqu’aux Décrétales	Essai sur la procédure canonique depuis l’établissement du christianisme jusqu’aux Décrétales	1-1847-1865	1853	11-12	04	ENCPOS_1853_04	ENCPOS/1853/ENCPOS_1853_04/	Grégoire, Ernest	Grégoire	Ernest			ABSENT			185306	1853	1850-1853	Promotion 1850-1853		NC		0-550			bon état	gregoire	1	0	550		
Essai sur la trêve de Dieu	Essai sur la trêve de Dieu	1-1847-1865	1853	13-14	05	ENCPOS_1853_05	ENCPOS/1853/ENCPOS_1853_05/	Gastines, De, Léonce	Gastines, De	Léonce			ABSENT			185304	1853	1850-1853	Promotion 1850-1853		NC		989-1299			bon état	gastines	1	989	1299		
Du Mundium	Du <i>Mundium</i>	1-1847-1865	1853	15-16	06	ENCPOS_1853_06	ENCPOS/1853/ENCPOS_1853_06/	Giraud, Alfred	Giraud	Alfred		 Giraud, Alfred 	https://www.idref.fr/156554208			185305	1853	1850-1853	Promotion 1850-1853		NC		100-750			bon état	giraud	1	100	750		
pages liminaires		1-1847-1865	1854	0-2	PREV	ENCPOS_1854_PREV	ENCPOS/1854/ENCPOS_1854_PREV/																									
Recherches historiques sur la maison de Saint-Lazare de Paris	Recherches historiques sur la maison de Saint-Lazare de Paris	1-1847-1865	1854	3-4	01	ENCPOS_1854_01	ENCPOS/1854/ENCPOS_1854_01/	Boullé, Jules	Boullé	Jules			ABSENT			185401	1854	1851-1854	Promotion 1851-1854		NC		500-1850			bon état	boulle	1	500	1850		
Du pouvoir législatif en France	Du pouvoir législatif en France	1-1847-1865	1854	5-7	02	ENCPOS_1854_02	ENCPOS/1854/ENCPOS_1854_02/	Casati, Charles	Casati	Charles		Casati, Claude-Marie-Charles (1833-1919)	https://www.idref.fr/057122490			185402	1854	1851-1854	Promotion 1851-1854		NC		500-1850			bon état	casati	1	500	1850		
Essai sur la géographie territoriale et politique de l’Auvergne aux ixe et xe siècles	Essai sur la géographie territoriale et politique de l’Auvergne aux <abbr>ix<sup>e</sup></abbr> et <abbr>x<sup>e</sup></abbr> siècles	1-1847-1865	1854	9-12	03	ENCPOS_1854_03	ENCPOS/1854/ENCPOS_1854_03/	Chassaing, Jean-Baptiste-François-Augustin	Chassaing	Jean-Baptiste-François-Augustin			ABSENT			185403	1854	1851-1854	Promotion 1851-1854		NC		800-999			bon état	chassaing	1	800	999		
Étude sur les mots à multiples formes dans la langue française	Étude sur les mots à multiples formes dans la langue française	1-1847-1865	1854	13-15	04	ENCPOS_1854_04	ENCPOS/1854/ENCPOS_1854_04/	Gros-Burdet, Jean-Édouard	Gros-Burdet	Jean-Édouard			ABSENT			185404	1854	1851-1854	Promotion 1851-1854		NC		800-1850			bon état	grosburdet	1	800	1850		
De l’institution des baillis sous saint Louis et sous Philippe III d’après les Olim (1254-1285)	De l’institution des baillis sous saint_Louis et sous Philippe_III d’après les <i>Olim</i> (1254-1285)	1-1847-1865	1854	17-19	05	ENCPOS_1854_05	ENCPOS/1854/ENCPOS_1854_05/	Laborde, Théodore	Laborde	Théodore			ABSENT			185405	1854	1851-1854	Promotion 1851-1854		NC		1254-1285			bon état	laborde	1	1254	1285		
Essai sur l’état des personnes en Angleterre au xie siècle à la suite de la conquête normande, d’après les documents originaux et principalement le Domesday-Book précédé de l’histoire de ce livre	Essai sur l’état des personnes en Angleterre au <abbr>xi<sup>e</sup></abbr> siècle à la suite de la conquête normande, d’après les documents originaux et principalement le <i>Domesday-Book,</i> précédé de l’histoire de ce livre	1-1847-1865	1854	21-22	06	ENCPOS_1854_06	ENCPOS/1854/ENCPOS_1854_06/	Lacour, Louis	Lacour	Louis		La Pijardière, Louis Lacour de (1832-1892)	https://www.idref.fr/026956497			185406	1854	1851-1854	Promotion 1851-1854		NC		1066-1099			bon état	lacour	1	1066	1099		
Des sépultures chrétiennes en France du xie au xvie siècle	Des sépultures chrétiennes en France du <abbr>xi<sup>e</sup></abbr> au <abbr>xvi<sup>e</sup></abbr> siècle	1-1847-1865	1854	23-26	07	ENCPOS_1854_07	ENCPOS/1854/ENCPOS_1854_07/	Murcier, Arthur	Murcier	Arthur		Murcier, Arthur	https://www.idref.fr/165057203			185407	1854	1851-1854	Promotion 1851-1854		NC		1000-1599			bon état	murcier	1	1000	1599		
Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613	Essai sur les variations des limites géographiques et de la constitution politique de l’Aquitaine, depuis César jusqu’à l’an 613	1-1847-1865	1854	27-28	08	ENCPOS_1854_08	ENCPOS/1854/ENCPOS_1854_08/	Rocquain De Courtemblay, Félix	Rocquain De Courtemblay	Félix		Rocquain, Félix (1833-1925)	https://www.idref.fr/034080872			185408	1854	1851-1854	Promotion 1851-1854		NC		-50-613			bon état	rocquaindecourtemblay	1	-50	613		
De l’administration des communes au nord de la France vers 1260	De l’administration des communes au nord de la France vers 1260	1-1847-1865	1854	29-30	09	ENCPOS_1854_09	ENCPOS/1854/ENCPOS_1854_09/	Servois, Gustave	Servois	Gustave		Servois, Gustave (1829-1927)	https://www.idref.fr/034770526			185409	1854	1851-1854	Promotion 1851-1854		NC		1250-1270			bon état	servois	1	1250	1270		
pages liminaires		1-1847-1865	1855	0-2	PREV	ENCPOS_1855_PREV	ENCPOS/1855/ENCPOS_1855_PREV/																									
De l’aveu de la partie et de la preuve testimoniale sous la première race	De l’aveu de la partie et de la preuve testimoniale sous la première race	1-1847-1865	1855	3-5	01	ENCPOS_1855_01	ENCPOS/1855/ENCPOS_1855_01/	Barberaud, Guillaume-Charles	Barberaud	Guillaume-Charles			ABSENT			185501	1855	1852-1855	Promotion 1852-1855		NC		496-750			bon état	barberaud	1	496	750		
Essais sur l’origine de la commune de Besançon	Essais sur l’origine de la commune de Besançon	1-1847-1865	1855	7-11	02	ENCPOS_1855_02	ENCPOS/1855/ENCPOS_1855_02/	Castan, Auguste	Castan	Auguste		Castan, Auguste (1833-1892)	https://www.idref.fr/026771152			185502	1855	1852-1855	Promotion 1852-1855		NC		-500-1499			bon état	castan	1	-500	1499		
Rivalité des évêques et des comtes dans la province ecclésiastique de Sens, depuis le xe jusqu’au xiiie siècle	Rivalité des évêques et des comtes dans la province ecclésiastique de Sens, depuis le <abbr>x<sup>e</sup></abbr> jusqu’au <abbr>xiii<sup>e</sup></abbr> siècle	1-1847-1865	1855	13-14	03	ENCPOS_1855_03	ENCPOS/1855/ENCPOS_1855_03/	Delore, Félix Éloi	Delore	Félix Éloi			ABSENT			185503	1855	1852-1855	Promotion 1852-1855		NC		900-1299			bon état	delore	1	900	1299		
Essai sur la poésie liturgique au Moyen Âge : proses, tropes, offices rimés, suivi d’une histoire de la versification latine à la même époque	Essai sur la poésie liturgique au Moyen_Âge : proses, tropes, offices rimés, suivi d’une histoire de la versification latine à la même époque	1-1847-1865	1855	15-22	04	ENCPOS_1855_04	ENCPOS/1855/ENCPOS_1855_04/	Gautier, Émile-Léon	Gautier	Émile-Léon		Gautier, Léon (1832-1897)	https://www.idref.fr/029659434			185504	1855	1852-1855	Promotion 1852-1855		NC		500-1499			bon état	gautier	1	500	1499		
